Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2016-0046-R,9/6/2015 12:00:00 AM,1/26/2016 12:00:00 AM,3/13/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,31299,White,Male,33,15,Male,Black,
Public Initiated,2016-0045-P,1/26/2016 12:00:00 AM,1/27/2016 12:00:00 AM,7/21/2016 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Communications Division,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31375,Black,Female,49,10,Female,Black,24
Public Initiated,2016-0050-P,1/11/2016 12:00:00 AM,1/28/2016 12:00:00 AM,7/21/2016 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,6th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31462,White,Male,32,2,Female,Black,39
Public Initiated,2016-0052-P,1/27/2016 12:00:00 AM,1/29/2016 12:00:00 AM,3/7/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Task Force,Task Force B,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31144,Black,Male,55,28,Male,,
Rank Initiated,2016-0056-R,1/29/2016 12:00:00 AM,1/29/2016 12:00:00 AM,,DI-1,Active,Pending,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31146,Black,Male,40,11,,,
Rank Initiated,2016-0054-R,1/29/2016 12:00:00 AM,1/29/2016 12:00:00 AM,5/19/2016 12:00:00 AM,DI-1,Completed,Sustained,MSB - Management Services Bureau,Police Recruits,Training Section,,AWP - Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31155,White,Male,25,3,,,
Rank Initiated,2016-0041-R,1/23/2016 12:00:00 AM,1/29/2016 12:00:00 AM,2/20/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31136,Black,Male,61,39,,,
Rank Initiated,2016-0058-R,1/30/2016 12:00:00 AM,1/31/2016 12:00:00 AM,2/19/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31187,Black,Male,33,14,,,
Rank Initiated,2016-0072-D,2/1/2016 12:00:00 AM,2/1/2016 12:00:00 AM,2/1/2016 12:00:00 AM,DI-2,Completed,Other,FOB - Field Operations Bureau,Communications Division,A Platoon,Unknown Assignment,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31417,Black,Female,53,34,,,
Public Initiated,2016-0060-P,1/30/2016 12:00:00 AM,2/1/2016 12:00:00 AM,7/2/2018 12:00:00 AM,DI-1,Completed,Sustained,MSB - Management Services Bureau,Education/Training & Recruitment Division,Training Section,Special Assignment,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,31388,Black,Male,56,15,,,
Public Initiated,2016-0063-P,1/19/2016 12:00:00 AM,2/1/2016 12:00:00 AM,6/16/2016 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31302,Black,Male,36,14,Female,Black,53
Public Initiated,2016-0063-P,1/19/2016 12:00:00 AM,2/1/2016 12:00:00 AM,6/16/2016 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33838,,,,,Female,Black,53
Public Initiated,2016-0066-N,11/13/2016 12:00:00 AM,2/1/2016 12:00:00 AM,3/9/2016 12:00:00 AM,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31665,White,Male,44,10,Male,Black,48
Public Initiated,2016-0068-N,1/17/2016 12:00:00 AM,2/1/2016 12:00:00 AM,3/23/2016 12:00:00 AM,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,32619,,,,,Female,White,55
Public Initiated,2016-0064-N,1/31/2016 12:00:00 AM,2/1/2016 12:00:00 AM,3/9/2016 12:00:00 AM,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31666,,,,,,,
Public Initiated,2016-0053-P,1/26/2016 12:00:00 AM,2/1/2016 12:00:00 AM,3/9/2016 12:00:00 AM,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31587,Black,Male,40,11,Female,Hispanic,34
Public Initiated,2016-0053-P,1/26/2016 12:00:00 AM,2/1/2016 12:00:00 AM,3/9/2016 12:00:00 AM,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31589,White,Male,27,6,Female,Hispanic,34
Public Initiated,2016-0067-P,,2/1/2016 12:00:00 AM,3/13/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,,,31571,Asian/Pacif,Male,,11,Male,Black,
Public Initiated,2016-0067-P,,2/1/2016 12:00:00 AM,3/13/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,,,31577,Black,Male,,10,Male,Black,
Public Initiated,2016-0067-P,,2/1/2016 12:00:00 AM,3/13/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,,,33998,Black,Male,,6,Male,Black,
Public Initiated,2016-0071-P,2/1/2016 12:00:00 AM,2/1/2016 12:00:00 AM,6/16/2016 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31376,Not Specifie,Male,27,5,Sex-Unk,Race-Unknown,
