"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"11";"Public Initiated";"2016-0003-P";"1/2/2016 12:00:00 AM";"1/4/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";32859;"White";"Male";30;6;"Male";"White";58
"12";"Public Initiated";"2016-0010-N";"1/4/2016 12:00:00 AM";"1/5/2016 12:00:00 AM";"2/25/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Unknown District/Division";"";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31016;"";"";NA;NA;"Male";"White";42
"13";"Public Initiated";"2016-0011-N";"1/2/2016 12:00:00 AM";"1/7/2016 12:00:00 AM";"2/25/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"NO VIOLATION OBSERVED";"";30857;"White";"Male";29;4;"Female";"Black";28
"14";"Public Initiated";"2016-0011-N";"1/2/2016 12:00:00 AM";"1/7/2016 12:00:00 AM";"2/25/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"NO VIOLATION OBSERVED";"";30858;"Black";"Male";27;6;"Female";"Black";28
"15";"Rank Initiated";"2016-0004-R";"1/2/2016 12:00:00 AM";"1/7/2016 12:00:00 AM";"3/27/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"2nd District";"C Platoon";"";"";"";"RULE 7: DEPT PROPERTY";"PARAGRAPH 03 - CLEANLINESS OF DEPARTMENT EQUIPMENT";30752;"Black";"Male";47;13;"";"";NA
"16";"Public Initiated";"2016-0012-P";"";"1/11/2016 12:00:00 AM";"7/6/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Special Investigations Division";"Special Victims  Section";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";30864;"Black";"Female";NA;12;"Female";"";NA
"17";"Public Initiated";"2016-0012-P";"";"1/11/2016 12:00:00 AM";"7/6/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Special Investigations Division";"Special Victims  Section";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";34100;"Black";"Female";NA;30;"Female";"";NA
"18";"Public Initiated";"2016-0015-N";"";"1/11/2016 12:00:00 AM";"2/25/2016 12:00:00 AM";"DI-1";"Completed";"NFIM";"";"Unknown District/Division";"";"";"";"";"NO ALLIGATIONS ASSIGNED AT THIS TIME";"";30867;"";"";NA;NA;"Male";"";NA
"19";"Public Initiated";"2016-0016-P";"1/8/2016 12:00:00 AM";"1/11/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";30868;"White";"Male";57;36;"Male";"";NA
"20";"Public Initiated";"2016-0017-P";"1/6/2016 12:00:00 AM";"1/11/2016 12:00:00 AM";"2/5/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"Narcotics";"";"Regular Working";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 04 - DISCRIMINATION";30872;"Black";"Male";34;10;"";"";NA
"21";"Public Initiated";"2016-0017-P";"1/6/2016 12:00:00 AM";"1/11/2016 12:00:00 AM";"2/5/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"Narcotics";"";"Regular Working";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 04 - DISCRIMINATION";30943;"Black";"Male";32;9;"";"";NA
"22";"Public Initiated";"2016-0013-P";"5/7/2012 12:00:00 AM";"1/11/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT";30865;"Black";"Male";54;20;"Male";"White";NA
"23";"Rank Initiated";"2016-0019-R";"1/12/2016 12:00:00 AM";"1/13/2016 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"1st District";"3rd Platoon";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 01 - REPORTING FOR DUTY";30875;"Black";"Female";54;27;"";"";NA
"24";"Rank Initiated";"2016-0023-R";"1/13/2015 12:00:00 AM";"1/14/2016 12:00:00 AM";"6/20/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"2nd District";"Patrol";"Regular Working";"Between 3pm-11pm";"";"";31233;"Black";"Female";28;NA;"Female";"Black";NA
"25";"Public Initiated";"2016-0014-N";"6/19/2015 12:00:00 AM";"1/14/2016 12:00:00 AM";"2/25/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"1st District";"Staff";"";"";"Between 3pm-11pm";"NO VIOLATION OBSERVED";"";30861;"";"";NA;NA;"Male";"White";58
"26";"Public Initiated";"2016-0020-P";"12/29/2015 12:00:00 AM";"1/14/2016 12:00:00 AM";"9/7/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"1st District";"1st District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31019;"Black";"Male";46;23;"Female";"Black";42
"27";"Public Initiated";"2016-0021-P";"1/3/2016 12:00:00 AM";"1/14/2016 12:00:00 AM";"4/18/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31180;"White";"Male";29;4;"Male";"Black";27
"28";"Public Initiated";"2016-0021-P";"1/3/2016 12:00:00 AM";"1/14/2016 12:00:00 AM";"4/18/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"Task Force";"A Platoon";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31182;"Black";"Male";27;6;"Male";"Black";27
"29";"Public Initiated";"2016-0027-P";"1/14/2016 12:00:00 AM";"1/15/2016 12:00:00 AM";"7/21/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"7th District";"7th District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31134;"Black";"Female";47;25;"Female";"Black";43
"30";"Public Initiated";"2016-0025-P";"10/22/2015 12:00:00 AM";"1/15/2016 12:00:00 AM";"12/27/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31142;"White";"Male";33;14;"Male";"White";68
"31";"Public Initiated";"2016-0028-P";"1/9/2016 12:00:00 AM";"1/15/2016 12:00:00 AM";"12/23/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"Motorcycle 2nd Platoon";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31241;"Black";"Male";56;2;"Female";"White";31
"32";"Public Initiated";"2016-0031-P";"1/9/2016 12:00:00 AM";"1/17/2016 12:00:00 AM";"2/28/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31438;"White";"Male";32;5;"Male";"Black";58
"33";"Public Initiated";"2016-0031-P";"1/9/2016 12:00:00 AM";"1/17/2016 12:00:00 AM";"2/28/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31439;"Black";"Male";38;17;"Male";"Black";58
"34";"Public Initiated";"2016-0029-P";"1/18/2016 12:00:00 AM";"1/18/2016 12:00:00 AM";"11/18/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"";"Unknown District/Division";"";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";30988;"";"";NA;NA;"";"";NA
"35";"Public Initiated";"2016-0030-P";"12/17/2015 12:00:00 AM";"1/19/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"4th District";"Day Watch";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31308;"White";"Male";36;19;"Female";"Black";57
"36";"Public Initiated";"2016-0033-N";"1/3/2016 12:00:00 AM";"1/19/2016 12:00:00 AM";"3/15/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";31130;"White";"Male";29;4;"Male";"Asian";51
"37";"Public Initiated";"2016-0033-N";"1/3/2016 12:00:00 AM";"1/19/2016 12:00:00 AM";"3/15/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";31132;"White";"Male";40;5;"Male";"Asian";51
"38";"Public Initiated";"2016-0033-N";"1/3/2016 12:00:00 AM";"1/19/2016 12:00:00 AM";"3/15/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";31133;"White";"Male";25;5;"Male";"Asian";51
"39";"Rank Initiated";"2016-0035-D";"1/19/2016 12:00:00 AM";"1/19/2016 12:00:00 AM";"1/25/2016 12:00:00 AM";"";"Completed";"Other";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Central Evidence & Property Section ";"Platoon C";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31018;"Black";"Female";28;11;"";"";NA
"40";"Rank Initiated";"2016-0036-R";"1/17/2016 12:00:00 AM";"1/19/2016 12:00:00 AM";"2/7/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31247;"White";"Male";39;10;"";"";NA
"41";"Rank Initiated";"2016-0032-R";"10/24/2015 12:00:00 AM";"1/20/2016 12:00:00 AM";"5/15/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"3rd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31841;"Black";"Male";51;28;"";"";NA
"42";"Rank Initiated";"2016-0032-R";"10/24/2015 12:00:00 AM";"1/20/2016 12:00:00 AM";"5/15/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"4th District";"3rd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31843;"Black";"Male";51;30;"";"";NA
"43";"Public Initiated";"2016-0038-P";"1/12/2016 12:00:00 AM";"1/20/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"7th District";"7th District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";32085;"White";"Male";32;5;"Male";"Black";34
"44";"Public Initiated";"2016-0039-P";"1/21/2016 12:00:00 AM";"1/21/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"3rd District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31379;"White";"Male";57;4;"Female";"Black";60
"45";"Rank Initiated";"2016-0042-R";"1/23/2016 12:00:00 AM";"1/23/2016 12:00:00 AM";"12/14/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Services Bureau";"Police Recruits";"Training Section";"Academy";"Regular Working";"8a-4p";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31087;"Black";"Male";26;NA;"";"";NA
"46";"Public Initiated";"2016-0049-N";"";"1/24/2016 12:00:00 AM";"3/3/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"";"";"NO VIOLATION OBSERVED";"";31678;"White";"Male";NA;14;"Female";"White";NA
"47";"Public Initiated";"2016-0044-P";"1/12/2016 12:00:00 AM";"1/25/2016 12:00:00 AM";"8/3/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"4th District";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31118;"Black";"Male";53;23;"Male";"Black";42
"48";"Public Initiated";"2016-0044-P";"1/12/2016 12:00:00 AM";"1/25/2016 12:00:00 AM";"8/3/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"4th District";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31154;"Black";"Female";52;14;"Male";"Black";42
"49";"Public Initiated";"2016-0043-P";"";"1/25/2016 12:00:00 AM";"6/6/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"Squad 2";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 08 - Use of Alchohol/Drugs On Duty";31412;"White";"Male";NA;15;"Female";"Black";NA
"50";"Public Initiated";"2016-0024-P";"1/12/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"11/18/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"6th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31034;"Black";"Male";39;19;"Male";"Black";28
"51";"Public Initiated";"2016-0026-P";"1/11/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"8/4/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31036;"White";"Male";50;12;"Female";"White";50
"52";"Public Initiated";"2016-0026-P";"1/11/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"8/4/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31038;"White";"Male";38;4;"Female";"White";50
"53";"Public Initiated";"2016-0026-P";"1/11/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"8/4/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31039;"White";"Male";35;17;"Female";"White";50
"54";"Public Initiated";"2016-0026-P";"1/11/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"8/4/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31041;"Hispanic";"Female";42;6;"Female";"White";50
"55";"Public Initiated";"2016-0022-P";"1/11/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"6/9/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"2nd District";"A Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31045;"White";"Male";34;15;"Female";"White";58
"56";"Public Initiated";"2016-0047-P";"";"1/26/2016 12:00:00 AM";"11/28/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"D.I.U.";"Persons";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31383;"White";"Male";NA;21;"Male";"White";NA
"57";"Public Initiated";"2016-0047-P";"";"1/26/2016 12:00:00 AM";"11/28/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"8th District";"D.I.U.";"Persons";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31384;"White";"Male";NA;22;"Male";"White";NA
"58";"Rank Initiated";"2016-0018-R";"1/12/2016 12:00:00 AM";"1/26/2016 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"MSB - Management Service Bureau";"4th District";"Extended Sick";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";31042;"Black";"Male";42;15;"";"";NA
"59";"Rank Initiated";"2016-0046-R";"9/6/2015 12:00:00 AM";"1/26/2016 12:00:00 AM";"3/13/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"A Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY";31299;"White";"Male";33;15;"Male";"Black";NA
"60";"Public Initiated";"2016-0045-P";"1/26/2016 12:00:00 AM";"1/27/2016 12:00:00 AM";"7/21/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31375;"Black";"Female";49;10;"Female";"Black";24
"61";"Public Initiated";"2016-0050-P";"1/11/2016 12:00:00 AM";"1/28/2016 12:00:00 AM";"7/21/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"6th District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";31462;"White";"Male";32;2;"Female";"Black";39
"62";"Public Initiated";"2016-0052-P";"1/27/2016 12:00:00 AM";"1/29/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"7th District";"Task Force";"Task Force B";"Regular Working";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31144;"Black";"Male";55;28;"Male";"";NA
"63";"Rank Initiated";"2016-0056-R";"1/29/2016 12:00:00 AM";"1/29/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"5th District";"Investigations";"Squad 3";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31146;"Black";"Male";40;11;"";"";NA
"64";"Rank Initiated";"2016-0054-R";"1/29/2016 12:00:00 AM";"1/29/2016 12:00:00 AM";"5/19/2016 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Services Bureau";"Police Recruits";"Training Section";"";"AWP - Off Duty";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31155;"White";"Male";25;3;"";"";NA
"65";"Rank Initiated";"2016-0041-R";"1/23/2016 12:00:00 AM";"1/29/2016 12:00:00 AM";"2/20/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";31136;"Black";"Male";61;39;"";"";NA
"66";"Rank Initiated";"2016-0058-R";"1/30/2016 12:00:00 AM";"1/31/2016 12:00:00 AM";"2/19/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"Special Operations Division";"Tactical Section";"2nd Platoon";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";31187;"Black";"Male";33;14;"";"";NA
"67";"Rank Initiated";"2016-0072-D";"2/1/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"2/1/2016 12:00:00 AM";"DI-2";"Completed";"Other";"FOB - Field Operations Bureau";"Communications Division";"A Platoon";"Unknown Assignment";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";31417;"Black";"Female";53;34;"";"";NA
